acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-6.9,1.3,-11.63,-1.59,-3.37,3.86
-6.78,-0.15,-9.49,-0.99,-4.97,4.63
-2.95,0.53,-4.31,-0.27,-3.01,5.68
1.61,0.94,-6.46,2.08,-2.8,6.87
14.16,4.79,-8.41,3.1,0.61,6.34
16.69,5.6,-17.59,4.37,2.6,5.87
24.15,6.85,-18.67,2.37,5.15,-0.33
13.55,1.7,-22.91,0.51,7,-5.38
16.9,-4.3,-21.56,-1.32,4.14,-8.75
16.57,-18.93,-40.77,-4.66,5.51,-8.75
24.93,-30.41,-55.98,-8.76,1.2,-8.75
52.1,-53.67,-58.14,-8.76,-6.93,-8.75
49.18,-53.53,-42.98,-8.76,-4.04,-8.75
58.05,-53.49,-13.9,-5.94,-8.69,-7.62
52.43,-37.14,-16.39,-2.56,-6.85,-0.14
30.75,-37.85,-3.63,-7.32,-2.08,-1.17
17.91,-26.18,4.06,-2.17,-0.65,0.5
6.39,-16.01,-2.06,0.18,-0.85,0.16
7.64,-7.74,-4.64,0.78,-0.85,0.41
5.01,-5.41,-5.18,-0.73,0.6,0.66
5.19,-5.45,-5.79,0.04,1.09,1.15
5.48,-5.1,-6.71,0.1,1.36,1.39
4.17,-5.49,-7.65,0.31,2.26,1.75
3.07,-6.64,-6.99,0.65,1.91,1.61
4.06,-6.86,-5.54,0.97,2.7,2.34
3.08,-6.08,-5.75,0.91,2.51,1.93
3.39,-9.01,-2.23,1.95,1.94,1.79
4.85,-7.97,-1.13,2.06,2.31,1.91
4.31,-6.91,0.36,0.38,3.52,1.23
1.34,-8.54,-2.34,-0.25,2.83,0.63
3.45,-8.68,-1.65,-0.31,2.32,0.49
1.9,-9.52,-0.59,-0.43,2.38,0.56
1.34,-10.06,-0.55,-0.41,1.74,0.55
2.55,-9.86,-0.27,-0.32,1.29,0.53
1.44,-9.19,-0.65,-0.34,1.21,0.28
1.55,-9.76,-0.27,-0.49,1.21,0.39
0.72,-9.84,-0.32,-0.31,0.58,0.2
1.25,-9.9,-0.38,-0.35,0.64,0.29
1.23,-10.22,-0.36,-0.05,0.28,0.24
0.93,-9.69,-0.84,-0.21,0.36,0.08
